,,validdate,t_2m:C,relative_humidity_2m:p,uv:idx,precip_1h:mm
Maceió,129,2020-05-09T00:00:00Z,19.8,87.6,0,1.44
Maceió,130,2020-05-10T00:00:00Z,16.2,59.9,0,0.0
Maceió,131,2020-05-11T00:00:00Z,15.1,62.6,0,0.0
Maceió,132,2020-05-12T00:00:00Z,15.4,53.1,0,0.0
Maceió,133,2020-05-13T00:00:00Z,15.6,58.4,0,0.0
Maceió,134,2020-05-14T00:00:00Z,17.4,64.0,0,0.0
Maceió,135,2020-05-15T00:00:00Z,18.2,77.7,0,0.0
Maceió,136,2020-05-16T00:00:00Z,19.5,89.4,0,0.07
Maceió,137,2020-05-17T00:00:00Z,16.4,78.7,0,0.01
Maceió,138,2020-05-18T00:00:00Z,16.9,75.1,0,0.0
Maceió,139,2020-05-19T00:00:00Z,18.4,88.4,0,0.3
Maceió,140,2020-05-20T00:00:00Z,12.7,77.8,0,0.18
Maceió,141,2020-05-21T00:00:00Z,14.7,55.3,0,0.0
Maceió,142,2020-05-22T00:00:00Z,17.1,82.5,0,0.0
Maceió,143,2020-05-23T00:00:00Z,17.1,87.1,0,0.0
Maceió,144,2020-05-24T00:00:00Z,15.5,82.4,0,0.0
Maceió,145,2020-05-25T00:00:00Z,14.6,58.5,0,0.0
Maceió,146,2020-05-26T00:00:00Z,17.5,87.2,0,0.09
Maceió,147,2020-05-27T00:00:00Z,17.8,90.4,0,0.0
Maceió,148,2020-05-28T00:00:00Z,18.1,87.3,0,0.0
Maceió,149,2020-05-29T00:00:00Z,18.7,87.5,0,0.0
Maceió,150,2020-05-30T00:00:00Z,17.0,78.2,0,0.03
Maceió,151,2020-05-31T00:00:00Z,15.2,80.4,0,0.08
Macapá,0,2020-01-01T00:00:00Z,24.1,96.1,0,0.0
Macapá,1,2020-01-02T00:00:00Z,24.0,95.9,0,0.29
Macapá,2,2020-01-03T00:00:00Z,24.3,94.9,0,0.19
Macapá,3,2020-01-04T00:00:00Z,23.8,97.9,0,0.0
Macapá,4,2020-01-05T00:00:00Z,23.8,97.7,0,0.01
Macapá,5,2020-01-06T00:00:00Z,24.6,94.0,0,0.01
Macapá,6,2020-01-07T00:00:00Z,24.3,95.9,0,0.0
Macapá,7,2020-01-08T00:00:00Z,24.2,97.0,0,0.02
Macapá,8,2020-01-09T00:00:00Z,25.3,80.8,0,0.0
Macapá,9,2020-01-10T00:00:00Z,23.8,99.7,0,0.31
Macapá,10,2020-01-11T00:00:00Z,25.3,80.3,0,0.0
Macapá,11,2020-01-12T00:00:00Z,26.1,74.8,0,0.03
Macapá,12,2020-01-13T00:00:00Z,24.0,99.0,0,0.08
Macapá,13,2020-01-14T00:00:00Z,24.0,94.1,0,0.0
Macapá,14,2020-01-15T00:00:00Z,25.8,83.0,0,0.13
Macapá,15,2020-01-16T00:00:00Z,24.3,95.6,0,0.05
Macapá,16,2020-01-17T00:00:00Z,25.7,89.9,0,0.28
Macapá,17,2020-01-18T00:00:00Z,25.4,92.3,0,0.1
Macapá,18,2020-01-19T00:00:00Z,25.1,92.8,0,0.02
Macapá,19,2020-01-20T00:00:00Z,24.1,99.0,0,0.78
Macapá,20,2020-01-21T00:00:00Z,23.6,98.7,0,0.01
Macapá,21,2020-01-22T00:00:00Z,24.3,95.3,0,0.01
Macapá,22,2020-01-23T00:00:00Z,25.5,82.2,0,0.0
Macapá,23,2020-01-24T00:00:00Z,25.7,82.2,0,0.0
Macapá,24,2020-01-25T00:00:00Z,24.5,97.1,0,0.0
Macapá,25,2020-01-26T00:00:00Z,25.2,93.6,0,0.01
Macapá,26,2020-01-27T00:00:00Z,23.7,99.9,0,0.3
Macapá,27,2020-01-28T00:00:00Z,24.0,93.5,0,0.0
Macapá,28,2020-01-29T00:00:00Z,25.2,92.1,0,0.53
Macapá,29,2020-01-30T00:00:00Z,24.9,93.4,0,0.47
Macapá,30,2020-01-31T00:00:00Z,25.1,92.1,0,0.43
Macapá,31,2020-02-01T00:00:00Z,23.8,96.8,0,0.01
Macapá,32,2020-02-02T00:00:00Z,25.2,79.3,0,0.01
Macapá,33,2020-02-03T00:00:00Z,25.2,90.1,0,0.01
Macapá,34,2020-02-04T00:00:00Z,23.9,99.1,0,0.73
Macapá,35,2020-02-05T00:00:00Z,23.6,97.3,0,0.0
Macapá,36,2020-02-06T00:00:00Z,25.5,76.2,0,0.0
Macapá,37,2020-02-07T00:00:00Z,26.1,71.6,0,0.0
Macapá,38,2020-02-08T00:00:00Z,24.0,95.8,0,0.05
Macapá,39,2020-02-09T00:00:00Z,23.2,99.2,0,0.31
Macapá,40,2020-02-10T00:00:00Z,24.8,90.0,0,0.02
Macapá,41,2020-02-11T00:00:00Z,24.3,97.2,0,0.0
Macapá,42,2020-02-12T00:00:00Z,23.7,99.8,0,0.47
Macapá,43,2020-02-13T00:00:00Z,24.5,94.5,0,0.02
Macapá,44,2020-02-14T00:00:00Z,24.5,92.7,0,0.33
Macapá,45,2020-02-15T00:00:00Z,23.7,100.0,0,0.61
Macapá,46,2020-02-16T00:00:00Z,25.1,94.6,0,0.12
Macapá,47,2020-02-17T00:00:00Z,23.8,100.0,0,1.61
Macapá,48,2020-02-18T00:00:00Z,26.1,77.0,0,0.0
Macapá,49,2020-02-19T00:00:00Z,24.5,96.9,0,0.04
Macapá,50,2020-02-20T00:00:00Z,23.6,98.3,0,0.27
Macapá,51,2020-02-21T00:00:00Z,24.1,98.6,0,0.3
Macapá,52,2020-02-22T00:00:00Z,25.6,88.2,0,0.04
Macapá,53,2020-02-23T00:00:00Z,25.6,90.1,0,0.01
Macapá,54,2020-02-24T00:00:00Z,26.4,87.6,0,0.0
Macapá,55,2020-02-25T00:00:00Z,24.7,96.0,0,0.0
Macapá,56,2020-02-26T00:00:00Z,24.2,97.1,0,0.01
Macapá,57,2020-02-27T00:00:00Z,24.8,94.0,0,0.0
Macapá,58,2020-02-28T00:00:00Z,25.7,78.9,0,0.0
Macapá,59,2020-02-29T00:00:00Z,25.3,89.6,0,0.3
Macapá,60,2020-03-01T00:00:00Z,25.6,86.2,0,0.0
Macapá,61,2020-03-02T00:00:00Z,24.4,90.6,0,0.0
Macapá,62,2020-03-03T00:00:00Z,24.2,98.3,0,0.5
Macapá,63,2020-03-04T00:00:00Z,23.8,100.0,0,1.62
Macapá,64,2020-03-05T00:00:00Z,25.7,87.6,0,0.04
Macapá,65,2020-03-06T00:00:00Z,25.9,79.6,0,0.06
Macapá,66,2020-03-07T00:00:00Z,25.8,86.0,0,0.0
